emp_no,first_name,last_name,from_date,title,salary
10001,Georgi,Facello,1986-06-26,Senior Engineer,60117
10004,Chirstian,Koblick,1995-12-01,Senior Engineer,40054
10005,Kyoichi,Maliniak,1996-09-12,Senior Staff,78228
10006,Anneke,Preusig,1990-08-05,Senior Engineer,40000
10009,Sumant,Peac,1995-02-18,Senior Engineer,60929
10018,Kazuhide,Peha,1995-04-03,Senior Engineer,55881
10019,Lillian,Haddadi,1999-04-30,Staff,44276
10020,Mayuko,Warwick,1997-12-30,Engineer,40000
10022,Shahaf,Famili,1999-09-03,Engineer,40000
10023,Bojan,Montemayor,1999-09-27,Engineer,47883
10026,Yongqiao,Berztiss,2001-03-19,Senior Engineer,47585
10035,Alain,Chappelet,1996-09-05,Senior Engineer,41538
10047,Zvonko,Nyanchama,1998-03-31,Senior Engineer,54982
10051,Hidefumi,Caine,1998-10-15,Senior Engineer,48817
10053,Sanjiv,Zschoche,1994-11-13,Senior Staff,67854
10057,Ebbe,Callaway,2000-01-15,Senior Engineer,49616
10058,Berhard,McFarlin,1988-04-25,Senior Staff,52787
10059,Alejandro,McAlpine,1991-06-26,Senior Staff,71218
10063,Gino,Leonhardt,1989-04-08,Senior Engineer,40000
10066,Kwee,Schusler,1998-02-25,Senior Engineer,69736
10067,Claudi,Stavenow,1996-03-03,Senior Engineer,44642
10070,Reuven,Garigliano,1985-10-14,Technique Leader,55999
10072,Hironoby,Sidou,1995-05-21,Senior Engineer,40000
10074,Mokhtar,Bernatsky,1990-08-13,Technique Leader,61714
10076,Erez,Ritzmann,1996-07-15,Senior Engineer,47319
10088,Jungsoon,Syrzycki,1993-09-02,Senior Staff,65957
10091,Amabile,Gomatam,2001-11-18,Senior Engineer,40000
10096,Jayson,Mandell,1999-01-23,Engineer,61395
10097,Remzi,Waschkowski,1996-09-14,Senior Staff,44886
10100,Hironobu,Haraldson,1994-09-21,Senior Staff,54398
10103,Akemi,Birch,1998-01-12,Engineer,68158
10106,Eben,Aingworth,1997-10-26,Senior Engineer,62928
10126,Kayoko,Valtorta,1991-09-08,Senior Staff,40000
10127,Subir,Baja,1991-05-17,Senior Engineer,40000
